,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
3078,ODI # 3221,India,West Indies,16 runs,Ahmedabad,"Dec 5, 2011",West Indies
3079,ODI # 3222,Bangladesh,Pakistan,58 runs,Chittagong,"Dec 6, 2011",Pakistan
3080,ODI # 3223,India,West Indies,153 runs,Indore,"Dec 8, 2011",India
3081,ODI # 3224,India,West Indies,34 runs,Chennai,"Dec 11, 2011",India
3082,ODI # 3225,South Africa,Sri Lanka,258 runs,Paarl,"Jan 11, 2012",South Africa
3083,ODI # 3226,South Africa,Sri Lanka,5 wickets,East London,"Jan 14, 2012",South Africa
3084,ODI # 3227,South Africa,Sri Lanka,4 runs,Bloemfontein,"Jan 17, 2012",South Africa
3085,ODI # 3228,South Africa,Sri Lanka,5 wickets,Kimberley,"Jan 20, 2012",Sri Lanka
3086,ODI # 3229,South Africa,Sri Lanka,2 wickets,Johannesburg,"Jan 22, 2012",Sri Lanka
3087,ODI # 3230,New Zealand,Zimbabwe,90 runs,Dunedin,"Feb 3, 2012",New Zealand
3088,ODI # 3231,Australia,India,65 runs,Melbourne,"Feb 5, 2012",Australia
3089,ODI # 3232,New Zealand,Zimbabwe,141 runs,Whangarei,"Feb 6, 2012",New Zealand
3090,ODI # 3233,India,Sri Lanka,4 wickets,Perth,"Feb 8, 2012",India
3091,ODI # 3234,New Zealand,Zimbabwe,202 runs,Napier,"Feb 9, 2012",New Zealand
3092,ODI # 3235,Australia,Sri Lanka,5 runs,Perth,"Feb 10, 2012",Australia
3093,ODI # 3236,Afghanistan,Pakistan,7 wickets,Sharjah,"Feb 10, 2012",Pakistan
3094,ODI # 3237,Australia,India,4 wickets,Adelaide,"Feb 12, 2012",India
3095,ODI # 3238,England,Pakistan,130 runs,Abu Dhabi,"Feb 13, 2012",England
3096,ODI # 3240,England,Pakistan,20 runs,Abu Dhabi,"Feb 15, 2012",England
3097,ODI # 3241,Australia,Sri Lanka,8 wickets,Sydney,"Feb 17, 2012",Sri Lanka
3098,ODI # 3242,Kenya,Ireland,7 wickets,Mombasa,"Feb 18, 2012",Kenya
3099,ODI # 3243,England,Pakistan,9 wickets,Dubai,"Feb 18, 2012",England
3100,ODI # 3244,Australia,India,110 runs,Brisbane,"Feb 19, 2012",Australia
3101,ODI # 3245,Kenya,Ireland,117 runs,Mombasa,"Feb 20, 2012",Ireland
3102,ODI # 3246,India,Sri Lanka,51 runs,Brisbane,"Feb 21, 2012",Sri Lanka
3103,ODI # 3247,England,Pakistan,4 wickets,Dubai,"Feb 21, 2012",England
3104,ODI # 3248,Australia,Sri Lanka,3 wickets,Hobart,"Feb 24, 2012",Sri Lanka
3105,ODI # 3249,New Zealand,South Africa,6 wickets,Wellington,"Feb 25, 2012",South Africa
3106,ODI # 3250,Australia,India,87 runs,Sydney,"Feb 26, 2012",Australia
3107,ODI # 3251,India,Sri Lanka,7 wickets,Hobart,"Feb 28, 2012",India
3108,ODI # 3252,New Zealand,South Africa,6 wickets,Napier,"Feb 29, 2012",South Africa
3109,ODI # 3253,Australia,Sri Lanka,9 runs,Melbourne,"Mar 2, 2012",Sri Lanka
3110,ODI # 3254,New Zealand,South Africa,5 wickets,Auckland,"Mar 3, 2012",South Africa
3111,ODI # 3255,Australia,Sri Lanka,15 runs,Brisbane,"Mar 4, 2012",Australia
3112,ODI # 3256,Australia,Sri Lanka,8 wickets,Adelaide,"Mar 6, 2012",Sri Lanka
3113,ODI # 3257,Australia,Sri Lanka,16 runs,Adelaide,"Mar 8, 2012",Australia
3114,ODI # 3258,Bangladesh,Pakistan,21 runs,Dhaka,"Mar 11, 2012",Pakistan
3115,ODI # 3259,India,Sri Lanka,50 runs,Dhaka,"Mar 13, 2012",India
3116,ODI # 3260,Pakistan,Sri Lanka,6 wickets,Dhaka,"Mar 15, 2012",Pakistan
3117,ODI # 3261,Bangladesh,India,5 wickets,Dhaka,"Mar 16, 2012",Bangladesh
3118,ODI # 3262,West Indies,Australia,64 runs,Kingstown,"Mar 16, 2012",Australia
3119,ODI # 3263,India,Pakistan,6 wickets,Dhaka,"Mar 18, 2012",India
3120,ODI # 3264,West Indies,Australia,5 wickets,Kingstown,"Mar 18, 2012",West Indies
3121,ODI # 3265,Bangladesh,Sri Lanka,5 wickets,Dhaka,"Mar 20, 2012",Bangladesh
3122,ODI # 3267,Bangladesh,Pakistan,2 runs,Dhaka,"Mar 22, 2012",Pakistan
3123,ODI # 3268,West Indies,Australia,42 runs,Gros Islet,"Mar 23, 2012",West Indies
3124,ODI # 3269,West Indies,Australia,30 runs,Gros Islet,"Mar 25, 2012",Australia
3125,ODI # 3270,Afghanistan,Netherlands,9 wickets,Sharjah,"Mar 29, 2012",Netherlands
3126,ODI # 3271,Afghanistan,Netherlands,5 wickets,Sharjah,"Mar 31, 2012",Afghanistan
3127,ODI # 3272,Sri Lanka,Pakistan,6 wickets,Pallekele,"Jun 7, 2012",Pakistan
3128,ODI # 3273,Sri Lanka,Pakistan,76 runs,Pallekele,"Jun 9, 2012",Sri Lanka
3129,ODI # 3275,Sri Lanka,Pakistan,44 runs,Colombo,"Jun 16, 2012",Sri Lanka
3130,ODI # 3276,England,West Indies,114 runs,Southampton,"Jun 16, 2012",England
3131,ODI # 3277,Sri Lanka,Pakistan,2 wickets,Colombo,"Jun 18, 2012",Sri Lanka
3132,ODI # 3278,England,West Indies,8 wickets,The Oval,"Jun 19, 2012",England
3133,ODI # 3280,England,Australia,15 runs,Lord's,"Jun 29, 2012",England
3134,ODI # 3281,England,Australia,6 wickets,The Oval,"Jul 1, 2012",England
3135,ODI # 3282,Ireland,Afghanistan,59 runs,Dublin,"Jul 5, 2012",Ireland
3136,ODI # 3283,West Indies,New Zealand,9 wickets,Kingston,"Jul 5, 2012",West Indies
3137,ODI # 3284,England,Australia,8 wickets,Chester,"Jul 7, 2012",England
3138,ODI # 3285,West Indies,New Zealand,55 runs,Kingston,"Jul 7, 2012",West Indies
3139,ODI # 3286,England,Australia,7 wickets,Manchester,"Jul 10, 2012",England
3140,ODI # 3287,Scotland,Canada,4 wickets,Ayr,"Jul 11-12, 2012",Scotland
3141,ODI # 3288,West Indies,New Zealand,88 runs,Basseterre,"Jul 11, 2012",New Zealand
3142,ODI # 3289,West Indies,New Zealand,24 runs,Basseterre,"Jul 14, 2012",West Indies
3143,ODI # 3290,West Indies,New Zealand,20 runs,Basseterre,"Jul 16, 2012",West Indies
3144,ODI # 3291,Sri Lanka,India,21 runs,Hambantota,"Jul 21, 2012",India
3145,ODI # 3292,Sri Lanka,India,9 wickets,Hambantota,"Jul 24, 2012",Sri Lanka
3146,ODI # 3293,Sri Lanka,India,5 wickets,Colombo,"Jul 28, 2012",India
3147,ODI # 3294,Sri Lanka,India,6 wickets,Colombo,"Jul 31, 2012",India
3148,ODI # 3295,Sri Lanka,India,20 runs,Pallekele,"Aug 4, 2012",India
3149,ODI # 3297,Afghanistan,Australia,66 runs,Sharjah,"Aug 25, 2012",Australia
3150,ODI # 3298,England,South Africa,80 runs,Southampton,"Aug 28, 2012",South Africa
3151,ODI # 3299,Australia,Pakistan,4 wickets,Sharjah,"Aug 28, 2012",Australia
3152,ODI # 3300,England,South Africa,4 wickets,The Oval,"Aug 31, 2012",England
3153,ODI # 3301,Australia,Pakistan,7 wickets,Abu Dhabi,"Aug 31, 2012",Pakistan
3154,ODI # 3302,England,South Africa,6 wickets,Lord's,"Sep 2, 2012",England
3155,ODI # 3303,Australia,Pakistan,3 wickets,Sharjah,"Sep 3, 2012",Australia
3156,ODI # 3304,England,South Africa,7 wickets,Nottingham,"Sep 5, 2012",South Africa
3157,ODI # 3305,Sri Lanka,New Zealand,14 runs,Pallekele,"Nov 4, 2012",Sri Lanka
3158,ODI # 3306,Sri Lanka,New Zealand,7 wickets,Pallekele,"Nov 6, 2012",Sri Lanka
3159,ODI # 3307,Sri Lanka,New Zealand,7 wickets,Hambantota,"Nov 10, 2012",Sri Lanka
3160,ODI # 3309,Bangladesh,West Indies,7 wickets,Khulna,"Nov 30, 2012",Bangladesh
3161,ODI # 3310,Bangladesh,West Indies,160 runs,Khulna,"Dec 2, 2012",Bangladesh
3162,ODI # 3311,Bangladesh,West Indies,4 wickets,Dhaka,"Dec 5, 2012",West Indies
3163,ODI # 3312,Bangladesh,West Indies,75 runs,Dhaka,"Dec 7, 2012",West Indies
3164,ODI # 3313,Bangladesh,West Indies,2 wickets,Dhaka,"Dec 8, 2012",Bangladesh
3165,ODI # 3314,India,Pakistan,6 wickets,Chennai,"Dec 30, 2012",Pakistan
3166,ODI # 3315,India,Pakistan,85 runs,Kolkata,"Jan 3, 2013",Pakistan
3167,ODI # 3316,India,Pakistan,10 runs,Delhi,"Jan 6, 2013",India
3168,ODI # 3317,Australia,Sri Lanka,107 runs,Melbourne,"Jan 11, 2013",Australia
3169,ODI # 3318,India,England,9 runs,Rajkot,"Jan 11, 2013",England
3170,ODI # 3319,Australia,Sri Lanka,8 wickets,Adelaide,"Jan 13, 2013",Sri Lanka
3171,ODI # 3320,India,England,127 runs,Kochi,"Jan 15, 2013",India
3172,ODI # 3321,Australia,Sri Lanka,4 wickets,Brisbane,"Jan 18, 2013",Sri Lanka
3173,ODI # 3322,India,England,7 wickets,Ranchi,"Jan 19, 2013",India
3174,ODI # 3323,South Africa,New Zealand,1 wicket,Paarl,"Jan 19, 2013",New Zealand
3175,ODI # 3325,South Africa,New Zealand,27 runs,Kimberley,"Jan 22, 2013",New Zealand
3176,ODI # 3326,Australia,Sri Lanka,32 runs,Hobart,"Jan 23, 2013",Australia
3177,ODI # 3327,India,England,5 wickets,Mohali,"Jan 23, 2013",India
3178,ODI # 3328,South Africa,New Zealand,1 wicket,Potchefstroom,"Jan 25, 2013",South Africa
3179,ODI # 3329,India,England,7 wickets,Dharamsala,"Jan 27, 2013",England
3180,ODI # 3330,Australia,West Indies,9 wickets,Perth,"Feb 1, 2013",Australia
3181,ODI # 3331,Australia,West Indies,54 runs,Perth,"Feb 3, 2013",Australia
3182,ODI # 3332,Australia,West Indies,39 runs,Canberra,"Feb 6, 2013",Australia
3183,ODI # 3333,Australia,West Indies,5 wickets,Sydney,"Feb 8, 2013",Australia
3184,ODI # 3334,Australia,West Indies,17 runs,Melbourne,"Feb 10, 2013",Australia
3185,ODI # 3335,New Zealand,England,3 wickets,Hamilton,"Feb 17, 2013",New Zealand
3186,ODI # 3336,New Zealand,England,8 wickets,Napier,"Feb 20, 2013",England
3187,ODI # 3337,West Indies,Zimbabwe,156 runs,St George's,"Feb 22, 2013",West Indies
3188,ODI # 3338,New Zealand,England,5 wickets,Auckland,"Feb 23, 2013",England
3189,ODI # 3339,West Indies,Zimbabwe,7 wickets,St George's,"Feb 24, 2013",West Indies
3190,ODI # 3340,West Indies,Zimbabwe,5 wickets,St George's,"Feb 26, 2013",West Indies
3191,ODI # 3341,Afghanistan,Scotland,7 wickets,Sharjah,"Mar 6, 2013",Afghanistan
3192,ODI # 3342,Afghanistan,Scotland,5 wickets,Sharjah,"Mar 8, 2013",Afghanistan
3193,ODI # 3343,South Africa,Pakistan,125 runs,Bloemfontein,"Mar 10, 2013",South Africa
3194,ODI # 3344,Canada,Kenya,6 wickets,ICCA Dubai,"Mar 11, 2013",Kenya
3195,ODI # 3345,Canada,Kenya,6 wickets,ICCA Dubai,"Mar 13, 2013",Kenya
3196,ODI # 3346,South Africa,Pakistan,6 wickets,Centurion,"Mar 15, 2013",Pakistan
3197,ODI # 3347,South Africa,Pakistan,34 runs,Johannesburg,"Mar 17, 2013",South Africa
3198,ODI # 3348,South Africa,Pakistan,3 wickets,Durban,"Mar 21, 2013",Pakistan
3199,ODI # 3349,Sri Lanka,Bangladesh,8 wickets,Hambantota,"Mar 23, 2013",Sri Lanka
3200,ODI # 3350,South Africa,Pakistan,6 wickets,Benoni,"Mar 24, 2013",South Africa
3201,ODI # 3352,Sri Lanka,Bangladesh,3 wickets,Pallekele,"Mar 28, 2013",Bangladesh
3202,ODI # 3353,Zimbabwe,Bangladesh,121 runs,Bulawayo,"May 3, 2013",Bangladesh
3203,ODI # 3354,Zimbabwe,Bangladesh,6 wickets,Bulawayo,"May 5, 2013",Zimbabwe
3204,ODI # 3355,Zimbabwe,Bangladesh,7 wickets,Bulawayo,"May 8, 2013",Zimbabwe
3205,ODI # 3356,Scotland,Pakistan,96 runs,Edinburgh,"May 17, 2013",Pakistan
3206,ODI # 3358,Ireland,Pakistan,2 wickets,Dublin,"May 26, 2013",Pakistan
3207,ODI # 3359,Netherlands,South Africa,83 runs,Amstelveen,"May 31, 2013",South Africa
3208,ODI # 3360,England,New Zealand,5 wickets,Lord's,"May 31, 2013",New Zealand
3209,ODI # 3361,England,New Zealand,86 runs,Southampton,"Jun 2, 2013",New Zealand
3210,ODI # 3362,England,New Zealand,34 runs,Nottingham,"Jun 5, 2013",England
3211,ODI # 3363,India,South Africa,26 runs,Cardiff,"Jun 6, 2013",India
3212,ODI # 3364,Pakistan,West Indies,2 wickets,The Oval,"Jun 7, 2013",West Indies
3213,ODI # 3365,England,Australia,48 runs,Birmingham,"Jun 8, 2013",England
3214,ODI # 3366,New Zealand,Sri Lanka,1 wicket,Cardiff,"Jun 9, 2013",New Zealand
3215,ODI # 3367,Pakistan,South Africa,67 runs,Birmingham,"Jun 10, 2013",South Africa
3216,ODI # 3368,India,West Indies,8 wickets,The Oval,"Jun 11, 2013",India
3217,ODI # 3370,England,Sri Lanka,7 wickets,The Oval,"Jun 13, 2013",Sri Lanka
3218,ODI # 3372,India,Pakistan,8 wickets,Birmingham,"Jun 15, 2013",India
3219,ODI # 3373,England,New Zealand,10 runs,Cardiff,"Jun 16, 2013",England
3220,ODI # 3374,Australia,Sri Lanka,20 runs,The Oval,"Jun 17, 2013",Sri Lanka
3221,ODI # 3375,England,South Africa,7 wickets,The Oval,"Jun 19, 2013",England
3222,ODI # 3376,India,Sri Lanka,8 wickets,Cardiff,"Jun 20, 2013",India
3223,ODI # 3377,England,India,5 runs,Birmingham,"Jun 23, 2013",India
3224,ODI # 3378,West Indies,Sri Lanka,6 wickets,Kingston,"Jun 28, 2013",West Indies
3225,ODI # 3379,Scotland,Kenya,12 runs,Aberdeen,"Jun 30, 2013",Scotland
3226,ODI # 3380,West Indies,India,1 wicket,Kingston,"Jun 30, 2013",West Indies
3227,ODI # 3381,Scotland,Kenya,4 wickets,Aberdeen,"Jul 2-3, 2013",Scotland
3228,ODI # 3382,India,Sri Lanka,161 runs,Kingston,"Jul 2, 2013",Sri Lanka
3229,ODI # 3383,West Indies,India,102 runs,Port of Spain,"Jul 5, 2013",India
3230,ODI # 3384,Netherlands,Ireland,88 runs,Amstelveen,"Jul 7, 2013",Ireland
3231,ODI # 3385,West Indies,Sri Lanka,39 runs,Port of Spain,"Jul 7-8, 2013",Sri Lanka
3232,ODI # 3387,India,Sri Lanka,81 runs,Port of Spain,"Jul 9, 2013",India
3233,ODI # 3388,India,Sri Lanka,1 wicket,Port of Spain,"Jul 11, 2013",India
3234,ODI # 3389,West Indies,Pakistan,126 runs,Providence,"Jul 14, 2013",Pakistan
3235,ODI # 3390,West Indies,Pakistan,37 runs,Providence,"Jul 16, 2013",West Indies
3236,ODI # 3392,Sri Lanka,South Africa,180 runs,Colombo,"Jul 20, 2013",Sri Lanka
3237,ODI # 3393,West Indies,Pakistan,6 wickets,Gros Islet,"Jul 21, 2013",Pakistan
3238,ODI # 3394,Sri Lanka,South Africa,17 runs,Colombo,"Jul 23, 2013",Sri Lanka
3239,ODI # 3395,Zimbabwe,India,6 wickets,Harare,"Jul 24, 2013",India
3240,ODI # 3396,West Indies,Pakistan,4 wickets,Gros Islet,"Jul 24, 2013",Pakistan
3241,ODI # 3397,Zimbabwe,India,58 runs,Harare,"Jul 26, 2013",India
3242,ODI # 3398,Sri Lanka,South Africa,56 runs,Pallekele,"Jul 26, 2013",South Africa
3243,ODI # 3399,Zimbabwe,India,7 wickets,Harare,"Jul 28, 2013",India
3244,ODI # 3400,Sri Lanka,South Africa,8 wickets,Pallekele,"Jul 28, 2013",Sri Lanka
3245,ODI # 3401,Sri Lanka,South Africa,128 runs,Colombo,"Jul 31, 2013",Sri Lanka
3246,ODI # 3402,Zimbabwe,India,9 wickets,Bulawayo,"Aug 1, 2013",India
3247,ODI # 3403,Zimbabwe,India,7 wickets,Bulawayo,"Aug 3, 2013",India
3248,ODI # 3404,Zimbabwe,Pakistan,7 wickets,Harare,"Aug 27, 2013",Zimbabwe
3249,ODI # 3406,Zimbabwe,Pakistan,90 runs,Harare,"Aug 29, 2013",Pakistan
3250,ODI # 3407,Canada,Netherlands,9 wickets,King City,"Aug 29, 2013",Netherlands
3251,ODI # 3408,Zimbabwe,Pakistan,108 runs,Harare,"Aug 31, 2013",Pakistan
3252,ODI # 3409,Ireland,England,6 wickets,Dublin,"Sep 3, 2013",England
3253,ODI # 3410,Scotland,Australia,200 runs,Edinburgh,"Sep 3, 2013",Australia
3254,ODI # 3411,Ireland,Scotland,1 wicket,Belfast,"Sep 6, 2013",Ireland
3255,ODI # 3412,England,Australia,88 runs,Manchester,"Sep 8, 2013",Australia
3256,ODI # 3413,Ireland,Scotland,7 wickets,Belfast,"Sep 8, 2013",Ireland
3257,ODI # 3415,England,Australia,3 wickets,Cardiff,"Sep 14, 2013",England
3258,ODI # 3416,England,Australia,49 runs,Southampton,"Sep 16, 2013",Australia
3259,ODI # 3417,Afghanistan,Kenya,8 wickets,Sharjah,"Oct 2, 2013",Afghanistan
3260,ODI # 3418,Afghanistan,Kenya,7 wickets,Sharjah,"Oct 4, 2013",Afghanistan
3261,ODI # 3419,India,Australia,72 runs,Pune,"Oct 13, 2013",Australia
3262,ODI # 3420,India,Australia,9 wickets,Jaipur,"Oct 16, 2013",India
3263,ODI # 3421,India,Australia,4 wickets,Mohali,"Oct 19, 2013",Australia
3264,ODI # 3423,Bangladesh,New Zealand,43 runs,Dhaka,"Oct 29, 2013",Bangladesh
3265,ODI # 3424,India,Australia,6 wickets,Nagpur,"Oct 30, 2013",India
3266,ODI # 3425,Pakistan,South Africa,1 run,Sharjah,"Oct 30, 2013",South Africa
3267,ODI # 3426,Bangladesh,New Zealand,40 runs,Dhaka,"Oct 31, 2013",Bangladesh
3268,ODI # 3427,Pakistan,South Africa,66 runs,Dubai,"Nov 1, 2013",Pakistan
3269,ODI # 3428,India,Australia,57 runs,Bengaluru,"Nov 2, 2013",India
3270,ODI # 3429,Bangladesh,New Zealand,4 wickets,Fatullah,"Nov 3, 2013",Bangladesh
3271,ODI # 3430,Pakistan,South Africa,68 runs,Abu Dhabi,"Nov 6, 2013",South Africa
3272,ODI # 3431,Pakistan,South Africa,28 runs,Abu Dhabi,"Nov 8, 2013",South Africa
3273,ODI # 3433,Pakistan,South Africa,117 runs,Sharjah,"Nov 11, 2013",South Africa
3274,ODI # 3434,Sri Lanka,New Zealand,4 wickets,Hambantota,"Nov 12, 2013",New Zealand
3275,ODI # 3435,Sri Lanka,New Zealand,36 runs,Dambulla,"Nov 16, 2013",Sri Lanka
3276,ODI # 3436,India,West Indies,6 wickets,Kochi,"Nov 21, 2013",India
3277,ODI # 3437,India,West Indies,2 wickets,Visakhapatnam,"Nov 24, 2013",West Indies
3278,ODI # 3438,South Africa,Pakistan,23 runs,Cape Town,"Nov 24, 2013",Pakistan
3279,ODI # 3439,India,West Indies,5 wickets,Kanpur,"Nov 27, 2013",India
3280,ODI # 3440,South Africa,Pakistan,1 run,Port Elizabeth,"Nov 27, 2013",Pakistan
3281,ODI # 3441,South Africa,Pakistan,4 wickets,Centurion,"Nov 30, 2013",South Africa
3282,ODI # 3442,South Africa,India,141 runs,Johannesburg,"Dec 5, 2013",South Africa
3283,ODI # 3443,South Africa,India,134 runs,Durban,"Dec 8, 2013",South Africa
3284,ODI # 3445,Pakistan,Sri Lanka,11 runs,Sharjah,"Dec 18, 2013",Pakistan
3285,ODI # 3446,Pakistan,Sri Lanka,2 wickets,Dubai,"Dec 20, 2013",Sri Lanka
3286,ODI # 3447,Pakistan,Sri Lanka,113 runs,Sharjah,"Dec 22, 2013",Pakistan
3287,ODI # 3448,Pakistan,Sri Lanka,8 wickets,Abu Dhabi,"Dec 25, 2013",Pakistan
3288,ODI # 3449,New Zealand,West Indies,2 wickets,Auckland,"Dec 26, 2013",West Indies
3289,ODI # 3450,Pakistan,Sri Lanka,2 wickets,Abu Dhabi,"Dec 27, 2013",Sri Lanka
3290,ODI # 3451,New Zealand,West Indies,159 runs,Queenstown,"Jan 1, 2014",New Zealand
3291,ODI # 3452,New Zealand,West Indies,58 runs,Nelson,"Jan 4, 2014",New Zealand
3292,ODI # 3453,New Zealand,West Indies,203 runs,Hamilton,"Jan 8, 2014",West Indies
3293,ODI # 3454,Australia,England,6 wickets,Melbourne,"Jan 12, 2014",Australia
3294,ODI # 3455,Australia,England,1 wicket,Brisbane,"Jan 17, 2014",Australia
3295,ODI # 3456,New Zealand,India,24 runs,Napier,"Jan 19, 2014",New Zealand
3296,ODI # 3457,Australia,England,7 wickets,Sydney,"Jan 19, 2014",Australia
3297,ODI # 3458,New Zealand,India,15 runs,Hamilton,"Jan 22, 2014",New Zealand
3298,ODI # 3459,Canada,Scotland,170 runs,Christchurch,"Jan 23, 2014",Scotland
3299,ODI # 3460,Kenya,Netherlands,4 wickets,Lincoln,"Jan 23, 2014",Kenya
3300,ODI # 3461,Australia,England,57 runs,Perth,"Jan 24, 2014",England
3301,ODI # 3463,Australia,England,5 runs,Adelaide,"Jan 26, 2014",Australia
3302,ODI # 3464,Canada,Netherlands,8 wickets,Mount Maunganui,"Jan 28, 2014",Netherlands
3303,ODI # 3465,New Zealand,India,7 wickets,Hamilton,"Jan 28, 2014",New Zealand
3304,ODI # 3466,Kenya,Scotland,3 wickets,Christchurch,"Jan 30, 2014",Scotland
3305,ODI # 3467,New Zealand,India,87 runs,Wellington,"Jan 31, 2014",New Zealand
3306,ODI # 3468,Scotland,U.A.E.,41 runs,Lincoln,"Feb 1, 2014",Scotland
3307,ODI # 3469,Bangladesh,Sri Lanka,13 runs,Dhaka,"Feb 17, 2014",Sri Lanka
3308,ODI # 3470,Bangladesh,Sri Lanka,61 runs,Dhaka,"Feb 20, 2014",Sri Lanka
3309,ODI # 3471,Bangladesh,Sri Lanka,6 wickets,Dhaka,"Feb 22, 2014",Sri Lanka
3310,ODI # 3472,West Indies,Ireland,4 wickets,Kingston,"Feb 23, 2014",West Indies
3311,ODI # 3473,Pakistan,Sri Lanka,12 runs,Fatullah,"Feb 25, 2014",Sri Lanka
3312,ODI # 3474,Bangladesh,India,6 wickets,Fatullah,"Feb 26, 2014",India
3313,ODI # 3475,Afghanistan,Pakistan,72 runs,Fatullah,"Feb 27, 2014",Pakistan
3314,ODI # 3476,India,Sri Lanka,2 wickets,Fatullah,"Feb 28, 2014",Sri Lanka
3315,ODI # 3477,West Indies,England,15 runs,North Sound,"Feb 28, 2014",West Indies
3316,ODI # 3478,Bangladesh,Afghanistan,32 runs,Fatullah,"Mar 1, 2014",Afghanistan
3317,ODI # 3479,India,Pakistan,1 wicket,Dhaka,"Mar 2, 2014",Pakistan
3318,ODI # 3480,West Indies,England,3 wickets,North Sound,"Mar 2, 2014",England
3319,ODI # 3481,Afghanistan,Sri Lanka,129 runs,Dhaka,"Mar 3, 2014",Sri Lanka
3320,ODI # 3482,Bangladesh,Pakistan,3 wickets,Dhaka,"Mar 4, 2014",Pakistan
3321,ODI # 3483,Afghanistan,India,8 wickets,Dhaka,"Mar 5, 2014",India
3322,ODI # 3484,West Indies,England,25 runs,North Sound,"Mar 5, 2014",England
3323,ODI # 3485,Bangladesh,Sri Lanka,3 wickets,Dhaka,"Mar 6, 2014",Sri Lanka
3324,ODI # 3486,Pakistan,Sri Lanka,5 wickets,Dhaka,"Mar 8, 2014",Sri Lanka
3325,ODI # 3487,Afghanistan,Hong Kong,6 wickets,Kuala Lumpur,"May 1, 2014",Afghanistan
3326,ODI # 3488,Afghanistan,U.A.E.,70 runs,Kuala Lumpur,"May 2, 2014",Afghanistan
3327,ODI # 3489,Hong Kong,U.A.E.,2 wickets,Kuala Lumpur,"May 4, 2014",U.A.E.
3328,ODI # 3490,Ireland,Sri Lanka,79 runs,Dublin,"May 6, 2014",Sri Lanka
3329,ODI # 3491,Scotland,England,39 runs,Aberdeen,"May 9, 2014",England
3330,ODI # 3492,England,Sri Lanka,81 runs,The Oval,"May 22, 2014",England
3331,ODI # 3493,England,Sri Lanka,157 runs,Chester,"May 25, 2014",Sri Lanka
3332,ODI # 3494,England,Sri Lanka,10 wickets,Manchester,"May 28, 2014",England
3333,ODI # 3495,England,Sri Lanka,7 runs,Lord's,"May 31, 2014",Sri Lanka
3334,ODI # 3496,England,Sri Lanka,6 wickets,Birmingham,"Jun 3, 2014",Sri Lanka
3335,ODI # 3497,Bangladesh,India,7 wickets,Dhaka,"Jun 15, 2014",India
3336,ODI # 3498,Bangladesh,India,47 runs,Dhaka,"Jun 17, 2014",India
3337,ODI # 3500,Sri Lanka,South Africa,75 runs,Colombo,"Jul 6, 2014",South Africa
3338,ODI # 3501,Sri Lanka,South Africa,87 runs,Pallekele,"Jul 9, 2014",Sri Lanka
3339,ODI # 3502,Sri Lanka,South Africa,82 runs,Hambantota,"Jul 12, 2014",South Africa
3340,ODI # 3503,Zimbabwe,Afghanistan,6 wickets,Bulawayo,"Jul 18, 2014",Zimbabwe
3341,ODI # 3504,Zimbabwe,Afghanistan,8 wickets,Bulawayo,"Jul 20, 2014",Zimbabwe
3342,ODI # 3505,Zimbabwe,Afghanistan,2 wickets,Bulawayo,"Jul 22, 2014",Afghanistan
3343,ODI # 3506,Zimbabwe,Afghanistan,100 runs,Bulawayo,"Jul 24, 2014",Afghanistan
3344,ODI # 3507,Zimbabwe,South Africa,93 runs,Bulawayo,"Aug 17, 2014",South Africa
3345,ODI # 3508,Zimbabwe,South Africa,61 runs,Bulawayo,"Aug 19, 2014",South Africa
3346,ODI # 3509,West Indies,Bangladesh,3 wickets,St George's,"Aug 20, 2014",West Indies
3347,ODI # 3510,Zimbabwe,South Africa,7 wickets,Bulawayo,"Aug 21, 2014",South Africa
3348,ODI # 3511,West Indies,Bangladesh,177 runs,St George's,"Aug 22, 2014",West Indies
3349,ODI # 3512,Sri Lanka,Pakistan,4 wickets,Hambantota,"Aug 23, 2014",Pakistan
3350,ODI # 3513,Zimbabwe,Australia,198 runs,Harare,"Aug 25, 2014",Australia
3351,ODI # 3514,West Indies,Bangladesh,91 runs,Basseterre,"Aug 25, 2014",West Indies
3352,ODI # 3515,Sri Lanka,Pakistan,77 runs,Hambantota,"Aug 26, 2014",Sri Lanka
3353,ODI # 3516,Australia,South Africa,7 wickets,Harare,"Aug 27, 2014",South Africa
3354,ODI # 3517,England,India,133 runs,Cardiff,"Aug 27, 2014",India
3355,ODI # 3518,Zimbabwe,South Africa,61 runs,Harare,"Aug 29, 2014",South Africa
3356,ODI # 3519,Sri Lanka,Pakistan,7 wickets,Dambulla,"Aug 30, 2014",Sri Lanka
3357,ODI # 3520,England,India,6 wickets,Nottingham,"Aug 30, 2014",India
3358,ODI # 3521,Zimbabwe,Australia,3 wickets,Harare,"Aug 31, 2014",Zimbabwe
3359,ODI # 3522,Australia,South Africa,62 runs,Harare,"Sep 2, 2014",Australia
3360,ODI # 3523,England,India,9 wickets,Birmingham,"Sep 2, 2014",India
3361,ODI # 3524,Zimbabwe,South Africa,63 runs,Harare,"Sep 4, 2014",South Africa
3362,ODI # 3525,England,India,41 runs,Leeds,"Sep 5, 2014",England
3363,ODI # 3526,Australia,South Africa,6 wickets,Harare,"Sep 6, 2014",South Africa
3364,ODI # 3527,Ireland,Scotland,7 wickets,Dublin,"Sep 8, 2014",Ireland
